time,phase,lat,lon,alt,vel_x,vel_y,vel_z,vel_mag,qx,qy,qz,qw
6.05,ASCENT,0.0,0.0,113.12133387103677,25.841028060051976,0.0,0.0,25.841028060051976,0.0,0.0,1.0,0.0
6.1,ASCENT,0.0,0.0,114.42452445998788,26.063811774737953,0.0,0.0,26.063811774737953,0.0,0.0,1.0,0.0
6.15,ASCENT,0.0,0.0,115.73886328563094,26.286776513235203,0.0,0.0,26.286776513235203,0.0,0.0,1.0,0.0
6.2,ASCENT,0.0,0.0,117.06435940228403,26.509922338818853,0.0,0.0,26.509922338818853,0.0,0.0,1.0,0.0
6.25,ASCENT,0.0,0.0,118.4010218679905,26.733249314767445,0.0,0.0,26.733249314767445,0.0,0.0,1.0,0.0
6.3,ASCENT,0.0,0.0,119.74885974358767,26.956757504363164,0.0,0.0,26.956757504363164,0.0,0.0,1.0,0.0
6.35,ASCENT,0.0,0.0,121.10788209177554,27.18044697089205,0.0,0.0,27.18044697089205,0.0,0.0,1.0,0.0
6.4,ASCENT,0.0,0.0,122.478097980842,27.404317777644216,0.0,0.0,27.404317777644216,0.0,0.0,1.0,0.0
6.45,ASCENT,0.0,0.0,123.85951648000628,27.628369987914088,0.0,0.0,27.628369987914088,0.0,0.0,1.0,0.0
6.5,ASCENT,0.0,0.0,125.25214666314423,27.852603665000597,0.0,0.0,27.852603665000597,0.0,0.0,1.0,0.0
6.55,ASCENT,0.0,0.0,126.65599760692567,28.07701887220743,0.0,0.0,28.07701887220743,0.0,0.0,1.0,0.0
6.6,ASCENT,0.0,0.0,128.07107839081436,28.301615672843234,0.0,0.0,28.301615672843234,0.0,0.0,1.0,0.0
6.65,ASCENT,0.0,0.0,129.49739809706807,28.526394130221867,0.0,0.0,28.526394130221867,0.0,0.0,1.0,0.0
6.7,ASCENT,0.0,0.0,130.93496581260115,28.751354307662602,0.0,0.0,28.751354307662602,0.0,0.0,1.0,0.0
6.75,ASCENT,0.0,0.0,132.3837906261906,28.976496268490372,0.0,0.0,28.976496268490372,0.0,0.0,1.0,0.0
6.8,ASCENT,0.0,0.0,133.84388163033873,29.20182007603599,0.0,0.0,29.20182007603599,0.0,0.0,1.0,0.0
6.85,ASCENT,0.0,0.0,135.3152479203418,29.42732579363639,0.0,0.0,29.42732579363639,0.0,0.0,1.0,0.0
6.9,ASCENT,0.0,0.0,136.79789859429002,29.65301348463485,0.0,0.0,29.65301348463485,0.0,0.0,1.0,0.0
6.95,ASCENT,0.0,0.0,138.29184275493026,29.878883212381243,0.0,0.0,29.878883212381243,0.0,0.0,1.0,0.0
7.0,ASCENT,0.0,0.0,139.797089506872,30.10493504023225,0.0,0.0,30.10493504023225,0.0,0.0,1.0,0.0
7.05,ASCENT,0.0,0.0,141.31364795845002,30.331169031551614,0.0,0.0,30.331169031551614,0.0,0.0,1.0,0.0
7.1,ASCENT,0.0,0.0,142.84152722079307,30.557585249710375,0.0,0.0,30.557585249710375,0.0,0.0,1.0,0.0
7.15,ASCENT,0.0,0.0,144.38073640875518,30.78418375808711,0.0,0.0,30.78418375808711,0.0,0.0,1.0,0.0
7.2,ASCENT,0.0,0.0,145.93128463998437,31.010964620068165,0.0,0.0,31.010964620068165,0.0,0.0,1.0,0.0
7.25,ASCENT,0.0,0.0,147.4931810349226,31.237927899047914,0.0,0.0,31.237927899047914,0.0,0.0,1.0,0.0
7.3,ASCENT,0.0,0.0,149.06643471773714,31.465073658428988,0.0,0.0,31.465073658428988,0.0,0.0,1.0,0.0
7.35,ASCENT,0.0,0.0,150.65105481538922,31.692401961622526,0.0,0.0,31.692401961622526,0.0,0.0,1.0,0.0
7.4,ASCENT,0.0,0.0,152.24705045856535,31.919912872048425,0.0,0.0,31.919912872048425,0.0,0.0,1.0,0.0
7.45,ASCENT,0.0,0.0,153.85443078167737,32.14760645313558,0.0,0.0,32.14760645313558,0.0,0.0,1.0,0.0
7.5,ASCENT,0.0,0.0,155.47320492006838,32.37548276832214,0.0,0.0,32.37548276832214,0.0,0.0,1.0,0.0
7.55,ASCENT,0.0,0.0,157.10338201373816,32.60354188105575,0.0,0.0,32.60354188105575,0.0,0.0,1.0,0.0
7.6,ASCENT,0.0,0.0,158.74497120641172,32.831783854793805,0.0,0.0,32.831783854793805,0.0,0.0,1.0,0.0
7.65,ASCENT,0.0,0.0,160.39798164367676,33.06020875300372,0.0,0.0,33.06020875300372,0.0,0.0,1.0,0.0
7.7,ASCENT,0.0,0.0,162.06242247577757,33.288816639163166,0.0,0.0,33.288816639163166,0.0,0.0,1.0,0.0
7.75,ASCENT,0.0,0.0,163.7383028548211,33.51760757676033,0.0,0.0,33.51760757676033,0.0,0.0,1.0,0.0
7.8,ASCENT,0.0,0.0,165.42563193663955,33.746581629294155,0.0,0.0,33.746581629294155,0.0,0.0,1.0,0.0
7.85,ASCENT,0.0,0.0,167.12441887985915,33.97573886027464,0.0,0.0,33.97573886027464,0.0,0.0,1.0,0.0
7.9,ASCENT,0.0,0.0,168.83467284683138,34.20507933322306,0.0,0.0,34.20507933322306,0.0,0.0,1.0,0.0
7.95,ASCENT,0.0,0.0,170.5564030027017,34.43460311167225,0.0,0.0,34.43460311167225,0.0,0.0,1.0,0.0
8.0,ASCENT,0.0,0.0,172.28961851540953,34.66431025916687,0.0,0.0,34.66431025916687,0.0,0.0,1.0,0.0
8.05,ASCENT,0.0,0.0,174.0343285575509,34.894200839263625,0.0,0.0,34.894200839263625,0.0,0.0,1.0,0.0
8.1,ASCENT,0.0,0.0,175.79054230358452,35.1242749155316,0.0,0.0,35.1242749155316,0.0,0.0,1.0,0.0
8.15,ASCENT,0.0,0.0,177.558268930763,35.354532551552474,0.0,0.0,35.354532551552474,0.0,0.0,1.0,0.0
8.2,ASCENT,0.0,0.0,179.33751762099564,35.5849738109208,0.0,0.0,35.5849738109208,0.0,0.0,1.0,0.0
8.25,ASCENT,0.0,0.0,181.12829755898565,35.81559875724429,0.0,0.0,35.81559875724429,0.0,0.0,1.0,0.0
8.3,ASCENT,0.0,0.0,182.9306179312989,36.04640745414407,0.0,0.0,36.04640745414407,0.0,0.0,1.0,0.0
8.35,ASCENT,0.0,0.0,184.7444879291579,36.27739996525494,0.0,0.0,36.27739996525494,0.0,0.0,1.0,0.0
8.4,ASCENT,0.0,0.0,186.5699167465791,36.508576354225696,0.0,0.0,36.508576354225696,0.0,0.0,1.0,0.0
8.45,ASCENT,0.0,0.0,188.40691358037293,36.73993668471934,0.0,0.0,36.73993668471934,0.0,0.0,1.0,0.0
8.5,ASCENT,0.0,0.0,190.25548763107508,36.97148102041341,0.0,0.0,36.97148102041341,0.0,0.0,1.0,0.0
8.55,ASCENT,0.0,0.0,192.11564810201526,37.20320942500021,0.0,0.0,37.20320942500021,0.0,0.0,1.0,0.0
8.6,ASCENT,0.0,0.0,193.98740420024842,37.43512196218714,0.0,0.0,37.43512196218714,0.0,0.0,1.0,0.0
8.65,ASCENT,0.0,0.0,195.8707651346922,37.66721869569694,0.0,0.0,37.66721869569694,0.0,0.0,1.0,0.0
8.7,ASCENT,0.0,0.0,197.7657401189208,37.89949968926796,0.0,0.0,37.89949968926796,0.0,0.0,1.0,0.0
8.75,ASCENT,0.0,0.0,199.67233836930245,38.131965006654504,0.0,0.0,38.131965006654504,0.0,0.0,1.0,0.0
8.8,ASCENT,0.0,0.0,201.5905691049993,38.364614711627034,0.0,0.0,38.364614711627034,0.0,0.0,1.0,0.0
8.85,ASCENT,0.0,0.0,203.5204415479675,38.59744886797252,0.0,0.0,38.59744886797252,0.0,0.0,1.0,0.0
8.9,ASCENT,0.0,0.0,205.46196492481977,38.830467539494684,0.0,0.0,38.830467539494684,0.0,0.0,1.0,0.0
8.95,ASCENT,0.0,0.0,207.41514846403152,39.06367079001432,0.0,0.0,39.06367079001432,0.0,0.0,1.0,0.0
9.0,ASCENT,0.0,0.0,209.38000139780343,39.29705868336956,0.0,0.0,39.29705868336956,0.0,0.0,1.0,0.0
9.05,ASCENT,0.0,0.0,211.35653296206146,39.530631283416184,0.0,0.0,39.530631283416184,0.0,0.0,1.0,0.0
9.1,ASCENT,0.0,0.0,213.34475239459425,39.76438865402789,0.0,0.0,39.76438865402789,0.0,0.0,1.0,0.0
9.15,ASCENT,0.0,0.0,215.34466893784702,39.998330859096605,0.0,0.0,39.998330859096605,0.0,0.0,1.0,0.0
9.2,ASCENT,0.0,0.0,217.35629183612764,40.23245796253277,0.0,0.0,40.23245796253277,0.0,0.0,1.0,0.0
9.25,ASCENT,0.0,0.0,219.37963033746928,40.46677002826565,0.0,0.0,40.46677002826565,0.0,0.0,1.0,0.0
9.3,ASCENT,0.0,0.0,221.4146936936304,40.70126712024362,0.0,0.0,40.70126712024362,0.0,0.0,1.0,0.0
9.35,ASCENT,0.0,0.0,223.46149115916342,40.93594930243446,0.0,0.0,40.93594930243446,0.0,0.0,1.0,0.0
9.4,ASCENT,0.0,0.0,225.52003199141473,41.17081663882567,0.0,0.0,41.17081663882567,0.0,0.0,1.0,0.0
9.45,ASCENT,0.0,0.0,227.590325451456,41.405869193424756,0.0,0.0,41.405869193424756,0.0,0.0,1.0,0.0
9.5,ASCENT,0.0,0.0,229.67238080315292,41.64110703025955,0.0,0.0,41.64110703025955,0.0,0.0,1.0,0.0
9.55,ASCENT,0.0,0.0,231.7662073140964,41.87653021337849,0.0,0.0,41.87653021337849,0.0,0.0,1.0,0.0
