time,mass,thrust,throttle,gimbal_x,gimbal_y,gimbal_z,rw_x,rw_y,rw_z,accel_x,accel_y,accel_z,force_grav_x,force_grav_y,force_grav_z,force_thrust_x,force_thrust_y,force_thrust_z,force_drag_x,force_drag_y,force_drag_z,target_att_x,target_att_y,target_att_z
2.25,542679.205885513,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.180698740853882,0.0,0.0,-5330368.521171061,-0.0,-0.0,7600000.0,0.0,0.0,-278.74226979806235,-0.0,-0.0,1.0,0.0,0.0
2.3,542541.7973178067,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.184221675225896,0.0,0.0,-5329018.402850876,-0.0,-0.0,7600000.0,0.0,0.0,-291.50118858471643,-0.0,-0.0,1.0,0.0,0.0
2.35,542404.3887501005,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.187745880889428,0.0,0.0,-5327668.2674356,-0.0,-0.0,7600000.0,0.0,0.0,-304.5556364076166,-0.0,-0.0,1.0,0.0,0.0
2.4,542266.9801823943,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.191271357653322,0.0,0.0,-5326318.11492381,-0.0,-0.0,7600000.0,0.0,0.0,-317.9062424369261,-0.0,-0.0,1.0,0.0,0.0
2.45,542129.571614688,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.194798105328878,0.0,0.0,-5324967.945314086,-0.0,-0.0,7600000.0,0.0,0.0,-331.5536343945811,-0.0,-0.0,1.0,0.0,0.0
2.5,541992.1630469818,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.198326123729881,0.0,0.0,-5323617.758605022,-0.0,-0.0,7600000.0,0.0,0.0,-345.49843854374046,-0.0,-0.0,1.0,0.0,0.0
2.55,541854.7544792756,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.201855412672623,0.0,0.0,-5322267.554795219,-0.0,-0.0,7600000.0,0.0,0.0,-359.74127967792,-0.0,-0.0,1.0,0.0,0.0
2.6,541717.3459115693,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.205385971975911,0.0,0.0,-5320917.333883293,-0.0,-0.0,7600000.0,0.0,0.0,-374.28278111032586,-0.0,-0.0,1.0,0.0,0.0
2.65,541579.9373438631,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.20891780146112,0.0,0.0,-5319567.095867861,-0.0,-0.0,7600000.0,0.0,0.0,-389.1235646631153,-0.0,-0.0,1.0,0.0,0.0
2.7,541442.5287761568,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2124509009521836,0.0,0.0,-5318216.84074756,-0.0,-0.0,7600000.0,0.0,0.0,-404.2642506566048,-0.0,-0.0,1.0,0.0,0.0
